"SERIE","TIPO","ESTADO","EDAD","TIPOAP","FECUP","FECPAR","SEXO","SEXO1","BECER","BECER1","OBSPAR","EDOBEC","EDOBEC1","RAZABE","PESOIB","PESOIB1","IENTPAR","COD","CODAP","MARCABEC1","MARCABEC2","CAUSAnm","OBSERnm","Historia","NCICLO"
"231","","","","VACA PROD.VACIA","1994-08-11 00:00:00","1997-01-20 00:00:00","HEMBRA","","F8011","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 30","14","12","","","","","False",""
"2801","","","","VACA PROD.VACIA","1997-01-06 00:00:00","1998-01-08 00:00:00","HEMBRA","","F8185","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 12","14","12","","","","","False",""
"2801","","","","VACA VACIA","1994-09-27 00:00:00","1995-11-30 00:00:00","MACHO","","D8149","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 14","14","11","","","","","False",""
"2801","","","","VACA PROD.VACIA","1995-11-30 00:00:00","1997-01-06 00:00:00","MACHO","","F8002","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 13","14","12","","","","","False",""
"2804","","","","VACA VACIA","1995-01-13 00:00:00","1996-01-24 00:00:00","HEMBRA","","E8019","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 13","14","11","","","","","False",""
"2806","","","","VACA VACIA","1995-04-16 00:00:00","1996-06-26 00:00:00","HEMBRA","","E8086","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 15","14","11","","","","","False",""
"2806","","","","VACA PROD.VACIA","1996-06-26 00:00:00","1998-01-26 00:00:00","MACHO","","G8045","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 19","14","12","","","","","False",""
"2806","","","","VACA PROD.VACIA","1998-01-26 00:00:00","1998-03-19 00:00:00","MACHO","","G8063","","","CONDICION 2","","MESTIZO BRAHMAN","0","0","  2","14","12","","","","","False",""
"2808","","","","VACA VACIA","1996-01-25 00:00:00","1997-01-30 00:00:00","MACHO","","F8015","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 12","14","11","","","","","False",""
"2808","","","","VACA VACIA","1995-01-07 00:00:00","1996-01-25 00:00:00","MACHO","","E8021","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 13","14","11","","","","","False",""
"2808","","","","VACA PROD.VACIA","1997-01-30 00:00:00","1997-12-05 00:00:00","HEMBRA","","F8158","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 10","14","12","","","","","False",""
"2811","","","","VACA VACIA","1996-01-08 00:00:00","1997-04-13 00:00:00","MACHO","","F8043","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 15","14","11","","","","","False",""
"2811","","","","VACA VACIA","1997-04-13 00:00:00","1998-04-16 00:00:00","HEMBRA","","G8069","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 12","14","11","","","","","False",""
"2811","","","","VACA VACIA","1994-12-10 00:00:00","1996-01-08 00:00:00","HEMBRA","","E8010","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 13","15","11","","","","","False",""
"2813","","","","VACA PROD.VACIA","1996-04-30 00:00:00","1997-04-17 00:00:00","MACHO","","F8046","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 12","14","12","","","","","False",""
"2813","","","","VACA VACIA","1995-04-04 00:00:00","1996-04-30 00:00:00","MACHO","","E8054","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 13","14","11","","","","","False",""
"2814","","","","VACA PROD.VACIA","","1996-08-16 00:00:00","HEMBRA","","E8095","","","CONDICION 2","","MESTIZO BRAHMAN","0","0","0","15","12","","","","","False",""
"2814","","","","VACA PROD.VACIA","1996-08-16 00:00:00","1997-09-14 00:00:00","MACHO","","F8114","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 13","14","12","","","","","False",""
"2816","","","","VACA VACIA","","1996-09-03 00:00:00","MACHO","","E8104","","","CONDICION 2","","MESTIZO BRAHMAN","0","0","0","14","11","","","","","False",""
"2818","","","","VACA PROD.VACIA","1995-06-11 00:00:00","1996-08-25 00:00:00","HEMBRA","","E8102","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 15","14","12","","","","","False",""
"2818","","","","","","1995-06-11 00:00:00","HEMBRA","","D8072","","","CONDICION 2","","MESTIZO BRAHMAN","0","0","0","14","","","","","","False",""
"2820","","","","VACA PROD.VACIA","","1996-02-27 00:00:00","HEMBRA","","E8033","","","CONDICION 2","","MESTIZO BRAHMAN","0","0","0","14","12","","","","","False",""
"2826","","","","VACA PROD.VACIA","1996-06-11 00:00:00","1997-05-05 00:00:00","MACHO","","F8060","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 11","15","12","","","","","False",""
"2826","","","","VACA VACIA","1995-04-12 00:00:00","1996-06-11 00:00:00","MACHO","","E8072","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 14","14","11","","","","","False",""
"2826","","","","VACA VACIA","1997-05-05 00:00:00","1998-06-15 00:00:00","HEMBRA","","G8090","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 14","14","11","","","","","False",""
"2827","","","","VACA VACIA","1997-05-17 00:00:00","1998-04-16 00:00:00","HEMBRA","","G8068","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 11","14","11","","","","","False",""
"2827","","","","VACA VACIA","","1996-06-13 00:00:00","MACHO","","E8073","","","CONDICION 2","","MESTIZO BRAHMAN","0","0","0","15","11","","","","","False",""
"2828","","","","VACA VACIA","","1996-11-02 00:00:00","HEMBRA","","E8134","","","CONDICION 2","","MESTIZO BRAHMAN","0","0","0","14","11","","","","","False",""
"2828","","","","VACA PROD.VACIA","1996-11-02 00:00:00","1998-03-07 00:00:00","HEMBRA","","G8052","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 16","14","12","","","","","False",""
"2829","","","","VACA PROD.VACIA","1996-12-07 00:00:00","1997-12-21 00:00:00","MACHO","","F8173","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 13","14","12","","","","","False",""
"2829","","","","VACA VACIA","1996-01-01 00:00:00","1996-12-07 00:00:00","MACHO","","E8160","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 11","14","11","","","","","False",""
"2831","","","","VACA VACIA","","1997-12-05 00:00:00","HEMBRA","","F8157","","","CONDICION 2","","MESTIZO BRAHMAN","0","0","0","14","11","","","","","False",""
"2832","","","","VACA PROD.VACIA","","1996-07-29 00:00:00","HEMBRA","","E8089","","","CONDICION 2","","MESTIZO BRAHMAN","0","0","0","14","12","","","","","False",""
"2832","","","","VACA PROD.VACIA","1996-07-29 00:00:00","1998-01-10 00:00:00","HEMBRA","","F8188","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 18","14","12","","","","","False",""
"2836","","","","VACA VACIA","","1996-06-16 00:00:00","HEMBRA","","E8077","","","CONDICION 2","","MESTIZO BRAHMAN","0","0","0","15","11","","","","","False",""
"2836","","","","VACA PROD.VACIA","1996-06-16 00:00:00","1997-05-25 00:00:00","HEMBRA","","F8069","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 11","14","12","","","","","False",""
"2837","","","","VACA PROD.VACIA","","1996-06-13 00:00:00","MACHO","","E8074","","","CONDICION 2","","MESTIZO BRAHMAN","0","0","0","15","12","","","","","False",""
"2837","","","","VACA VACIA","1996-10-12 00:00:00","1997-05-26 00:00:00","HEMBRA","","F8070","","","CONDICION 2","","MESTIZO BRAHMAN","0","0","  8","14","11","","","","","False",""
"2842","","","","VACA PROD.VACIA","1995-09-28 00:00:00","1997-07-02 00:00:00","HEMBRA","","F8082","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 21","14","12","","","","","False",""
"2842","","","","","","1995-09-28 00:00:00","MACHO","","D811-9","","NEGRO","","","","0","0","0","14","","","","","","False",""
"2844","","","","VACA VACIA","","1996-07-30 00:00:00","MACHO","","E8090","","","CONDICION 2","","MESTIZO BRAHMAN","0","0","0","15","11","","","","","False",""
"2844","","","","VACA VACIA","1997-06-11 00:00:00","1998-05-18 00:00:00","MACHO","","G8083","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 11","14","11","","","","","False",""
"2844","","","","VACA VACIA","1996-07-30 00:00:00","1997-06-11 00:00:00","HEMBRA","","F8072","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 11","14","11","","","","","False",""
"2845","","","","VACA PROD.VACIA","1997-07-14 00:00:00","1998-07-15 00:00:00","MACHO","","G8099","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 12","14","12","","","","","False",""
"2845","","","","VACA PROD.VACIA","","1996-06-24 00:00:00","MACHO","","E8083","","","CONDICION 2","","MESTIZO BRAHMAN","0","0","0","14","12","","","","","False",""
"2845","","","","VACA VACIA","1996-06-24 00:00:00","1997-07-14 00:00:00","HEMBRA","","F8085","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 13","14","11","","","","","False",""
"2852","","","","VACA VACIA","","1997-09-29 00:00:00","MACHO","","F8120","","","CONDICION 2","","MESTIZO BRAHMAN","0","0","0","14","11","","","","","False",""
"2856","","","","VACA VACIA","","1996-08-17 00:00:00","HEMBRA","","E8097","","","CONDICION 2","","MESTIZO BRAHMAN","0","0","0","15","11","","","","","False",""
"2860","","","","VACA PROD.VACIA","","1996-09-16 00:00:00","HEMBRA","","E8109","","","CONDICION 2","","MESTIZO BRAHMAN","0","0","0","14","12","","","","","False",""
"2860","","","","VACA PROD.VACIA","1996-09-16 00:00:00","1997-10-06 00:00:00","MACHO","","F8125","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 13","14","12","","","","","False",""
"2861","","","","VACA VACIA","1996-09-06 00:00:00","1997-08-01 00:00:00","MACHO","","F8089","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 11","14","11","","","","","False",""
"2861","","","","VACA VACIA","","1995-09-25 00:00:00","HEMBRA","","D811-2","","PARDO","CONDICION 2","","MESTIZO BRAHMAN","0","0","0","14","11","","","","","False",""
"2861","","","","VACA PROD.VACIA","1997-08-01 00:00:00","1998-07-28 00:00:00","MACHO","","G8104","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 12","14","12","","","","","False",""
"2861","","","","VACA VACIA","1995-09-25 00:00:00","1996-09-06 00:00:00","HEMBRA","","E8105","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 12","14","11","","","","","False",""
"2862","","","","VACA PROD.VACIA","1996-09-30 00:00:00","1997-08-10 00:00:00","HEMBRA","","F8094","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 10","14","12","","","","","False",""
"2862","","","","VACA PROD.VACIA","","1996-09-30 00:00:00","HEMBRA","","E8120","","","CONDICION 2","","MESTIZO BRAHMAN","0","0","0","14","12","","","","","False",""
"2863","","","","VACA VACIA","","1995-09-25 00:00:00","HEMBRA","","D811-3","","NEGRA","CONDICION 2","","MESTIZO BRAHMAN","0","0","0","14","11","","","","","False",""
"2863","","","","VACA VACIA","1995-09-25 00:00:00","1996-09-26 00:00:00","HEMBRA","","E8115","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 12","14","11","","","","","False",""
"2864","","","","","","1995-09-22 00:00:00","MACHO","","D811-1","","COLORADO","","","","0","0","0","14","","","","","","False",""
"2864","","","","VACA VACIA","1995-09-22 00:00:00","1996-12-19 00:00:00","MACHO","","E8169","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 15","14","11","","","","","False",""
"2869","","","","VACA PROD.VACIA","1996-12-22 00:00:00","1997-12-05 00:00:00","HEMBRA","","F8159","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 12","14","12","","","","","False",""
"2869","","","","VACA PROD.VACIA","","1996-12-22 00:00:00","MACHO","","E8171","","","CONDICION 2","","MESTIZO BRAHMAN","0","0","0","14","12","","","","","False",""
"2871","","","","VACA VACIA","1995-10-03 00:00:00","1996-10-30 00:00:00","HEMBRA","","E8132","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 13","14","11","","","","","False",""
"2871","","","","VACA VACIA","1996-10-30 00:00:00","1996-10-30 00:00:00","HEMBRA","","E8136","","","CONDICION 2","","MESTIZO BRAHMAN","0","0","  0","14","11","","","","","False",""
"2871","","","","VACA VACIA","1996-10-30 00:00:00","1998-07-02 00:00:00","HEMBRA","","G8097","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 20","14","11","","","","","False",""
"2871","","","","VACA VACIA","1995-10-03 00:00:00","1996-10-30 00:00:00","HEMBRA","","E8132","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 13","14","11","","","","","False",""
"2871","","","","VACA VACIA","1996-10-30 00:00:00","1996-10-30 00:00:00","HEMBRA","","E8136","","","CONDICION 2","","MESTIZO BRAHMAN","0","0","  0","14","11","","","","","False",""
"2871","","","","VACA VACIA","","1995-10-03 00:00:00","MACHO","","D812-2","","","CONDICION 2","","MESTIZO BRAHMAN","0","0","0","14","11","","","","","False",""
"3","","","","VACA VACIA","1994-04-29 00:00:00","1996-07-15 00:00:00","HEMBRA","","E8087","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 27","14","11","","","","","False",""
"3","","","","VACA PROD.VACIA","1996-07-15 00:00:00","1997-07-09 00:00:00","MACHO","","F8084","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 12","14","12","","","","","False",""
"369","","","","VACA PROD.VACIA","1994-03-15 00:00:00","1996-09-28 00:00:00","HEMBRA","","E8118","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 31","14","12","","","","","False",""
"369","","","","VACA PROD.VACIA","1996-09-28 00:00:00","1997-09-11 00:00:00","MACHO","","F8109","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 12","14","12","","","","","False",""
"3801","","","","VACA PROD.VACIA","1996-02-24 00:00:00","1997-01-09 00:00:00","HEMBRA","","F8004","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 11","14","12","","","","","False",""
"3801","","","","VACA PROD.VACIA","1997-01-09 00:00:00","1997-12-22 00:00:00","HEMBRA","","F8175","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 12","14","12","","","","","False",""
"3801","","","","VACA VACIA","","1996-02-24 00:00:00","HEMBRA","","E8032","","","CONDICION 2","","MESTIZO BRAHMAN","0","0","0","14","11","","","","","False",""
"3803","","","","VACA VACIA","1996-11-15 00:00:00","1997-10-31 00:00:00","HEMBRA","","F8135","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 12","14","11","","","","","False",""
"3803","","","","VACA VACIA","1995-09-11 00:00:00","1996-11-15 00:00:00","HEMBRA","","E8142","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 14","14","11","","","","","False",""
"3803","","","","VACA VACIA","","1995-09-11 00:00:00","HEMBRA","","D810-0","","_","CONDICION 2","","MESTIZO BRAHMAN","0","0","0","14","11","","","","","False",""
"3804","","","","VACA VACIA","1995-09-27 00:00:00","1996-12-19 00:00:00","HEMBRA","","E8168","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 15","14","11","","","","","False",""
"3804","","","","VACA VACIA","","1995-09-27 00:00:00","HEMBRA","","D811-8","","NEGRO","CONDICION 2","","MESTIZO BRAHMAN","0","0","0","14","11","","","","","False",""
"3806","","","","VACA VACIA","","1996-08-23 00:00:00","HEMBRA","","E8101","","","CONDICION 2","","MESTIZO BRAHMAN","0","0","0","14","11","","","","","False",""
"3808","","","","VACA VACIA","","1995-10-04 00:00:00","MACHO","","D812-4","","","CONDICION 2","","MESTIZO BRAHMAN","0","0","0","14","11","","","","","False",""
"3808","","","","VACA PROD.VACIA","1996-12-29 00:00:00","1997-12-14 00:00:00","HEMBRA","","F8164","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 12","14","12","","","","","False",""
"3808","","","","VACA PROD.VACIA","1995-10-04 00:00:00","1996-12-29 00:00:00","HEMBRA","","E8173","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 15","14","12","","","","","False",""
"3809","","","","VACA PROD.VACIA","1995-10-15 00:00:00","1996-12-01 00:00:00","MACHO","","E8155","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 14","14","12","","","","","False",""
"3809","","","","VACA VACIA","","1995-10-15 00:00:00","HEMBRA","","D813-2","","","CONDICION 2","","MESTIZO BRAHMAN","0","0","0","14","11","","","","","False",""
"3809","","","","VACA PROD.VACIA","1996-12-01 00:00:00","1997-12-17 00:00:00","MACHO","","F8169","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 13","14","12","","","","","False",""
"3810","","","","VACA PROD.VACIA","1996-10-31 00:00:00","1997-11-30 00:00:00","HEMBRA","","F8149","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 13","14","12","","","","","False",""
"3810","","","","VACA VACIA","","1995-10-07 00:00:00","HEMBRA","","D812-8","","","CONDICION 2","","MESTIZO BRAHMAN","0","0","0","14","11","","","","","False",""
"3810","","","","VACA VACIA","1995-10-07 00:00:00","1996-10-31 00:00:00","HEMBRA","","E8132","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 13","14","11","","","","","False",""
"3811","","","","","","1995-10-18 00:00:00","HEMBRA","","D813-3","","","","","","0","0","0","14","","","","","","False",""
"3811","","","","VACA PROD.VACIA","1995-10-18 00:00:00","1996-11-01 00:00:00","HEMBRA","","E8133","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 13","14","12","","","","","False",""
"3811","","","","VACA VACIA","1996-11-01 00:00:00","1997-11-08 00:00:00","MACHO","","F8138","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 12","14","11","","","","","False",""
"3813","","","","","","1995-09-25 00:00:00","MACHO","","D811-4","","PINTADO","","","","0","0","0","14","","","","","","False",""
"3813","","","","VACA PROD.VACIA","1996-12-19 00:00:00","1998-01-07 00:00:00","MACHO","","F8184","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 13","14","12","","","","","False",""
"3813","","","","VACA PROD.VACIA","1995-09-25 00:00:00","1996-12-19 00:00:00","HEMBRA","","E8167","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 15","14","12","","","","","False",""
"3815","","","","VACA PROD.VACIA","1996-04-03 00:00:00","1997-05-12 00:00:00","HEMBRA","","F8065","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 13","15","12","","","","","False",""
"3815","","","","VACA VACIA","1997-05-12 00:00:00","1998-05-18 00:00:00","MACHO","","G8087","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 12","14","11","","","","","False",""
"3815","","","","VACA VACIA","","1996-04-03 00:00:00","HEMBRA","","E8045","","","CONDICION 2","","MESTIZO BRAHMAN","0","0","0","14","11","","","","","False",""
"3816","","","","VACA VACIA","","1995-12-16 00:00:00","HEMBRA","","D8151","","","CONDICION 2","","MESTIZO BRAHMAN","0","0","0","14","11","","","","","False",""
"3816","","","","VACA PROD.VACIA","1997-04-20 00:00:00","1998-03-19 00:00:00","MACHO","","G8062","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 11","14","12","","","","","False",""
"3816","","","","VACA PROD.VACIA","1995-12-16 00:00:00","1997-04-20 00:00:00","MACHO","","F8050","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 16","14","12","","","","","False",""
"3818","","","","","","1995-09-27 00:00:00","MACHO","","D811-7","","COLORADO","","","","0","0","0","14","","","","","","False",""
"3820","","","","VACA PROD.VACIA","","1997-03-21 00:00:00","MACHO","","F8034","","","CONDICION 2","","MESTIZO BRAHMAN","0","0","0","14","12","","","","","False",""
"3822","","","","VACA VACIA","","1995-10-14 00:00:00","HEMBRA","","D813-1","","","CONDICION 2","","MESTIZO BRAHMAN","0","0","0","14","11","","","","","False",""
"3826","","","","VACA PROD.VACIA","1996-04-17 00:00:00","1997-03-10 00:00:00","HEMBRA","","F8031","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 11","14","12","","","","","False",""
"3826","","","","VACA VACIA","","1996-04-17 00:00:00","HEMBRA","","E8050","","","CONDICION 2","","MESTIZO BRAHMAN","0","0","0","14","11","","","","","False",""
"3826","","","","VACA VACIA","1997-03-10 00:00:00","1998-04-16 00:00:00","MACHO","","G8080","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 13","14","11","","","","","False",""
"3828","","","","VACA VACIA","","1995-10-06 00:00:00","HEMBRA","","D812-6","","","CONDICION 2","","MESTIZO BRAHMAN","0","0","0","14","11","","","","","False",""
"3828","","","","VACA VACIA","1995-10-06 00:00:00","1996-09-03 00:00:00","MACHO","","E8106","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 11","14","11","","","","","False",""
"3828","","","","VACA VACIA","1996-09-03 00:00:00","1997-09-28 00:00:00","HEMBRA","","F8117","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 13","14","11","","","","","False",""
"3828","","","","VACA PROD.VACIA","1997-09-28 00:00:00","1998-09-22 00:00:00","HEMBRA","","G8145","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 12","14","12","","","","","False",""
"3832","","","","VACA VACIA","","1996-08-23 00:00:00","MACHO","","E8100","","","CONDICION 2","","MESTIZO BRAHMAN","0","0","0","14","11","","","","","False",""
"3837","","","","VACA PROD.VACIA","1997-01-18 00:00:00","1997-12-11 00:00:00","HEMBRA","","F8160","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 11","14","12","","","","","False",""
"3837","","","","VACA VACIA","","1996-01-27 00:00:00","HEMBRA","","E8024","","","CONDICION 2","","MESTIZO BRAHMAN","0","0","0","14","11","","","","","False",""
"3837","","","","VACA VACIA","1996-01-27 00:00:00","1997-01-18 00:00:00","MACHO","","F8007","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 12","14","11","","","","","False",""
"3843","","","","","","1996-02-16 00:00:00","HEMBRA","","E8029","","","","","","0","0","0","14","","","","","","False",""
"3843","","","","VACA PROD.VACIA","1996-02-16 00:00:00","1997-04-05 00:00:00","MACHO","","F8038","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 14","14","12","","","","","False",""
"3846","","","","VACA VACIA","","1996-08-03 00:00:00","HEMBRA","","E8092","","","CONDICION 2","","MESTIZO BRAHMAN","0","0","0","14","11","","","","","False",""
"3846","","","","VACA VACIA","1996-08-03 00:00:00","1997-09-12 00:00:00","HEMBRA","","F8111","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 14","14","11","","","","","False",""
"3848","","","","VACA VACIA","1996-06-22 00:00:00","1997-11-13 00:00:00","HEMBRA","","F8141","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 17","14","11","","","","","False",""
"3848","","","","VACA VACIA","","1996-06-22 00:00:00","HEMBRA","","E8081","","","CONDICION 2","","MESTIZO BRAHMAN","0","0","0","14","11","","","","","False",""
"3849","","","","VACA VACIA","","1996-05-17 00:00:00","HEMBRA","","E8063","","","CONDICION 2","","MESTIZO BRAHMAN","0","0","0","14","11","","","","","False",""
"3854","","","","VACA VACIA","","1998-03-07 00:00:00","HEMBRA","","G8051","","","CONDICION 2","","MESTIZO BRAHMAN","0","0","0","14","11","","","","","False",""
"3855","","","","","","1996-11-12 00:00:00","MACHO","","E8140","","","","","","0","0","0","14","","","","","","False",""
"3858","","","","VACA VACIA","","1996-09-10 00:00:00","MACHO","","E8107","","","CONDICION 2","","MESTIZO BRAHMAN","0","0","0","14","11","","","","","False",""
"3859","","","","VACA VACIA","","1996-07-27 00:00:00","MACHO","","E8088","","","CONDICION 2","","MESTIZO BRAHMAN","0","0","0","14","11","","","","","False",""
"3861","","","","VACA VACIA","","1996-06-20 00:00:00","MACHO","","E8080","","","CONDICION 2","","MESTIZO BRAHMAN","0","0","0","14","11","","","","","False",""
"3863","","","","VACA VACIA","1996-11-20 00:00:00","1997-11-23 00:00:00","MACHO","","F8145","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 12","14","11","","","","","False",""
"3864","","","","VACA VACIA","","1996-10-21 00:00:00","HEMBRA","","E8129","","","CONDICION 2","","MESTIZO BRAHMAN","0","0","0","14","11","","","","","False",""
"3865","","","","VACA VACIA","1996-11-20 00:00:00","1997-01-24 00:00:00","HEMBRA","","F8012","","","CONDICION 2","","MESTIZO BRAHMAN","0","0","  2","14","11","","","","","False",""
"3865","","","","VACA VACIA","","1996-11-20 00:00:00","MACHO","","E8147","","","CONDICION 2","","MESTIZO BRAHMAN","0","0","0","14","11","","","","","False",""
"3865","","","","VACA PROD.VACIA","1997-01-24 00:00:00","1998-04-18 00:00:00","HEMBRA","","G8098","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 15","14","12","","","","","False",""
"387","","","","VACA VACIA","1994-09-30 00:00:00","1995-10-31 00:00:00","MACHO","","D814-1","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 13","15","11","","","","","False",""
"387","","","","VACA VACIA","1995-10-31 00:00:00","1996-10-15 00:00:00","HEMBRA","","E8127","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 12","14","11","","","","","False",""
"40","","","","VACA VACIA","1995-10-08 00:00:00","1996-10-21 00:00:00","MACHO","","E8130","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 13","14","11","","","","","False",""
"40","","","","VACA VACIA","1994-10-09 00:00:00","1995-10-08 00:00:00","MACHO","","D812-9","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 12","15","11","","","","","False",""
"418","","","","VACA VACIA","1996-09-18 00:00:00","1997-08-24 00:00:00","HEMBRA","","F8102","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 11","14","11","","","","","False",""
"418","","","","VACA VACIA","1995-10-07 00:00:00","1996-09-18 00:00:00","HEMBRA","","E8110","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 12","14","11","","","","","False",""
"418","","","","VACA VACIA","1994-09-29 00:00:00","1995-10-07 00:00:00","MACHO","","D812-7","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 12","15","11","","","","","False",""
"459","","","","VACA PROD.VACIA","1996-05-16 00:00:00","1997-04-12 00:00:00","HEMBRA","","F8042","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 11","14","12","","","","","False",""
"459","","","","VACA VACIA","1994-02-21 00:00:00","1996-05-16 00:00:00","MACHO","","E8062","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 27","14","11","","","","","False",""
"465","","","","VACA PROD.VACIA","1995-12-20 00:00:00","1997-02-28 00:00:00","MACHO","","F8025","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 15","14","12","","","","","False",""
"465","","","","VACA VACIA","1994-12-26 00:00:00","1995-12-20 00:00:00","HEMBRA","","D8156","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 12","15","11","","","","","False",""
"4801","","","","VACA VACIA","1997-02-13 00:00:00","1998-05-18 00:00:00","HEMBRA","","G8084","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 15","14","11","","","","","False",""
"4801","","","","VACA VACIA","","1997-02-13 00:00:00","HEMBRA","","F8018","","","CONDICION 2","","MESTIZO BRAHMAN","0","0","0","14","11","","","","","False",""
"4803","","","","VACA VACIA","","1996-12-26 00:00:00","MACHO","","E8172","","","CONDICION 2","","MESTIZO BRAHMAN","0","0","0","14","11","","","","","False",""
"4806","","","","VACA VACIA","","1996-05-28 00:00:00","MACHO","","E8068","","","CONDICION 2","","MESTIZO BRAHMAN","0","0","0","14","11","","","","","False",""
"4810","","","","VACA VACIA","","1997-02-15 00:00:00","MACHO","","F8020","","","CONDICION 2","","MESTIZO BRAHMAN","0","0","0","14","11","","","","","False",""
